Données	O
physiopathologiques	B
et	O
implications	O
thérapeutiques	B
au	O
cours	O
de	O
l'	O
insuffisance	B
cardiaque	I
gauche	I

Propos	O
.	O

–	O
L'	O
insuffisance	B
cardiaque	I
,	O
conséquence	O
potentielle	O
de	O
la	O
plupart	O
des	O
maladies	B
cardiaques	I
,	O
est	O
une	O
maladie	B
dont	O
la	O
fréquence	O
augmente	O
régulièrement	O
en	O
raison	O
de	O
l'	O
accroissement	O
progressif	O
de	O
l'	O
espérance	B
de	I
vie	I
et	O
d'	O
une	O
meilleure	O
prise	B
en	I
charge	I
des	O
atteintes	B
cardiovasculaires	I
.	O

Il	O
s'	O
agit	O
d'	O
une	O
maladie	B
très	O
sévère	O
en	O
termes	O
de	O
pronostic	B
vital	O
(	O
mortalité	B
de	O
50	O
%	O
à	O
cinq	O
ans	O
)	O
et	O
d'	O
altération	O
de	O
la	O
qualité	B
de	I
vie	I
,	O
et	O
très	O
onéreuse	O
en	O
terme	O
de	O
coût	O
.	O

Actualités	O
et	O
points	O
forts	O
.	O

–	O
Le	O
traitement	O
de	O
l'	O
insuffisance	B
cardiaque	I
a	O
un	O
double	O
but	O
:	O
améliorer	O
les	O
symptômes	B
et	O
ainsi	O
la	O
qualité	B
de	I
vie	I
,	O
et	O
augmenter	O
la	O
survie	B
.	O

Le	O
traitement	O
comprend	O
systématiquement	O
:	O
des	O
mesures	O
hygiénodiététiques	O
;	O
un	O
traitement	B
médicamenteux	I
(	O
associant	O
bêtabloquants	B
,	O
IEC	B
et	O
/	O
ou	O
sartans	B
,	O
diurétiques	B
,	O
éventuellement	O
aspirine	B
ou	O
AVK	B
,	O
digitale	O
et	O
amiodarone	B
)	O
,	O
à	O
adapter	O
en	O
fonction	O
de	O
la	O
gravité	O
,	O
de	O
l'	O
existence	O
ou	O
non	O
de	O
signes	O
congestifs	O
,	O
de	O
la	O
tolérance	O
,	O
de	O
l'	O
âge	O
et	O
de	O
l'	O
étiologie	B
;	O
un	O
traitement	B
étiologique	I
si	O
possible	O
;	O
le	O
traitement	O
et	O
la	O
prévention	O
des	O
facteurs	O
déclenchants	O
et	O
des	O
facteurs	O
de	O
surcroît	O
.	O

En	O
fonction	O
des	O
éléments	O
cliniques	B
et	O
paracliniques	B
,	O
il	O
sera	O
discuté	O
une	O
stimulation	B
cardiaque	I
multisite	I
,	O
une	O
intervention	O
chirurgicale	B
,	O
une	O
réadaptation	B
physique	B
à	O
l'	O
effort	O
et	O
/	O
ou	O
une	O
transplantation	B
cardiaque	I
.	O

Afin	O
de	O
réduire	O
l'	O
incidence	B
de	O
l'	O
insuffisance	B
cardiaque	I
,	O
il	O
est	O
impératif	O
d'	O
envisager	O
chaque	O
fois	O
que	O
cela	O
est	O
possible	O
le	O
traitement	O
préventif	O
des	O
affections	B
grandes	O
pourvoyeuses	O
de	O
cette	O
maladie	B
(	O
HTA	B
,	O
valvulopathies	B
,	O
coronaropathies	B
)	O
.	O

Perspectives	O
et	O
projets	O
.	O

–	O
L'	O
avenir	O
proche	O
du	O
traitement	O
de	O
l'	O
insuffisance	B
cardiaque	I
passe	O
par	O
une	O
prise	B
en	I
charge	I
multidisciplinaire	O
intégrant	O
le	O
patient	B
lui-même	O
et	O
faisant	O
intervenir	O
tous	O
les	O
acteurs	O
de	O
santé	B
au	O
sein	O
de	O
réseaux	O
d'	O
insuffisance	B
cardiaque	I
,	O
centrés	O
sur	O
des	O
équipes	O
hospitalières	B
adaptées	O
.	O

