Should	O
eligibility	O
for	O
heart	B
transplantation	I
be	O
a	O
requirement	O
for	O
left	B
ventricular	I
assist	I
device	I
use	O
?	O

Recommendations	O
based	O
on	O
a	O
systematic	O
review	O
.	O

Left	B
ventricular	I
assist	I
devices	I
(	O
LVADs	B
)	O
are	O
used	O
in	O
chronic	B
end-stage	I
heart	I
failure	I
as	O
bridge	B
to	I
transplantation	I
(	O
BTT	B
)	O
and	O
,	O
more	O
recently	O
,	O
for	O
transplant-ineligible	B
patients	B
as	O
destination	B
therapy	I
(	O
DT	B
)	O
.	O

We	O
reviewed	O
the	O
evidence	O
on	O
clinical	B
effects	O
and	O
cost-effectiveness	O
of	O
2	O
types	O
of	O
continuous-flow	B
LVADs	I
(	O
HeartMate	O
II	O
[	O
HM	O
II	O
]	O
and	O
HeartWare	O
)	O
,	O
for	O
BTT	B
and	O
DT	B
patients	B
.	O

We	O
systematically	O
searched	O
the	O
scientific	O
literature	O
(	O
January	O
2008-June	O
2012	O
)	O
and	O
identified	O
14	O
clinical	B
studies	O
(	O
approximately	O
2900	O
HM	O
II	O
and	O
approximately	O
200	O
HeartWare	O
patients	B
)	O
,	O
and	O
3	O
economic	O
evaluations	O
(	O
HM	O
II	O
)	O
using	O
simulation	O
models	O
.	O

Data	O
were	O
,	O
however	O
,	O
limited	O
to	O
2	O
-	O
3	O
studies	O
per	O
outcome	B
.	O

We	O
made	O
policy	O
recommendations	O
on	O
the	O
basis	O
of	O
our	O
systematic	O
review	O
.	O

Although	O
complications	B
after	O
implantation	B
are	O
frequent	O
,	O
LVAD	B
therapy	I
is	O
often	O
highly	O
effective	O
across	O
transplantation	B
eligibility	O
status	O
and	O
device	O
,	O
with	O
1-year	O
survival	O
reaching	O
86	O
%	O
for	O
BTT	B
and	O
78	O
%	O
for	O
DT	B
(	O
compared	O
with	O
25	O
%	O
for	O
medical	B
therapy	I
)	O
.	O

Neither	O
BTT	B
nor	O
DT	B
currently	O
meet	O
traditional	O
cost-effectiveness	O
limits	O
in	O
models	O
using	O
historical	O
data	O
,	O
although	O
BTT	B
is	O
standard	O
practice	O
for	O
a	O
limited	O
number	O
of	O
patients	B
in	O
many	O
regions	O
.	O

We	O
found	O
that	O
BTT	B
and	O
DT	B
as	O
implantation	B
strategies	O
tend	O
to	O
be	O
no	O
longer	O
mutually	O
exclusive	O
.	O

We	O
conclude	O
that	O
evidence	O
is	O
sufficient	O
to	O
support	O
LVAD	B
use	O
,	O
regardless	O
of	O
transplantation	B
eligibility	O
status	O
,	O
as	O
long	O
as	O
patients	B
are	O
carefully	O
selected	O
and	O
program	O
infrastructure	O
and	O
budget	O
are	O
adequate	O
.	O

However	O
,	O
evidence	O
gaps	O
,	O
limitations	O
in	O
economic	O
models	O
,	O
and	O
the	O
lack	O
of	O
Canadian	O
data	O
point	O
to	O
the	O
importance	O
of	O
mandatory	O
,	O
systematic	O
monitoring	O
of	O
LVAD	B
use	O
and	O
outcomes	B
.	O

