Stratégie	O
médicale	I
chez	O
les	O
patients	I
en	O
attente	O
de	O
greffe	I
cardiaque	I
en	O
urgence	O

Chez	O
les	O
patients	I
en	O
défaillance	I
cardiaque	I
sévère	O
,	O
les	O
agents	I
sympathicomimétiques	I
ont	O
leurs	O
limites	O
du	O
fait	O
de	O
la	O
désensibilisation	O
des	O
récepteurs	I
bêta	I
du	I
myocarde	I
.	O

Parmi	O
les	O
autres	O
agents	O
inotropes	I
l'	O
énoximone	I
est	O
intéressant	O
par	O
son	O
action	O
directe	O
sur	O
le	O
myocarde	I
et	O
par	O
son	O
action	O
vasodilatatrice	I
.	O

Cet	O
agent	O
,	O
administré	O
en	O
bolus	I
,	O
aa	O
permi	O
de	O
réduire	O
les	O
indication	O
d'	O
une	O
assistance	I
circulatoire	I
mécanique	I
et	O
une	O
meilleure	O
sélection	O
des	O
candidats	O
à	O
la	O
greffe	I
.	O

Nous	O
rapportons	O
ici	O
notre	O
expérience	O
à	O
propos	O
de	O
50	O
cas	O

